,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
60,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'Polo G', 'Lil Durk']",Free Promo,2278
61,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Gunna', 'Travis Scott']",Diamonds Dancing,2287
62,,,,,,,,,,,,,,,,Megan Thee Stallion,"['Megan Thee Stallion', 'DaBaby']",Cry Baby,2288
63,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Lil Uzi Vert', 'Yung Kayo']",Proud Of You,2289
64,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Rowdy Rebel']",Came And Saw,2290
65,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Gunna', 'Lil Baby', 'YTB Trench']",Paid The Fine,2291
66,"['contemporary country', 'country', 'country road', 'modern country rock']",,,,,,,,,,,,,,,Dustin Lynch,['Dustin Lynch'],Momma's House,2292
67,,,,,,,,,,,,,,,,Lil Tjay,"['Lil Tjay', 'Offset', 'Moneybagg Yo']",Run It Up,2294
68,,,,,,,,,,,,,,,,All Time Low,"['All Time Low', 'Demi Lovato', 'blackbear ']",Monsters,2296
69,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Gunna', 'Yak Gotti', 'Lil Duke']",Slatty,2297
70,,,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Maren Morris']",You All Over Me (Taylor's Version) (From The Vault),2304
71,,116.76,True,0.774,0.4119999999999999,1.0,-8.619,1.0,0.378,0.026,0.0,0.0879999999999999,0.38,139.943,8.0,Coi Leray,"['Coi Leray', 'Pooh Shiesty']",Big Purr (Prrdd),2308
72,,,,,,,,,,,,,,,,Demi Lovato,"['Demi Lovato', 'Ariana Grande']",Met Him Last Night,2309
73,,,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'EST Gee']",Real As It Gets,2312
74,,,,,,,,,,,,,,,,Drake,"['Drake', 'Rick Ross']",Lemon Pepper Freestyle,2315
75,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Khalid']",As I Am,2318
76,,,,,,,,,,,,,,,,Black Eyed Peas X Shakira,['Black Eyed Peas X Shakira'],Girl Like Me,2319
77,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'The Kid LAROI']",Unstable,2336
78,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Dominic Fike']",Die For You,2340
79,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'BEAM']",Love You Different,2341
80,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Burna Boy']",Loved By You,2342
81,,,,,,,,,,,,,,,,Pooh Shiesty,"['Pooh Shiesty', 'BIG30']",Neighbors,2344
82,,,,,,,,,,,,,,,,Myke Towers,"['Myke Towers', 'Juhn']",Bandido,2345
83,,,,,,,,,,,,,,,,NF,"['NF', 'Hopsin']",Lost,2349
84,,186.087,False,0.823,0.544,5.0,-7.132,1.0,0.0715,0.0215,0.00315,0.0966,0.664,149.903,89.0,Selena Gomez,"['Selena Gomez', 'Rauw Alejandro']",Baila Conmigo,2350
85,,,,,,,,,,,,,,,,Machine Gun Kelly,"['Machine Gun Kelly', 'CORPSE']",Daywalker!,2352
86,,,,,,,,,,,,,,,,YBN Nahmir,"['YBN Nahmir', '21 Savage']",Opp Stoppa,2353
87,,,,,,,,,,,,,,,,Lil Durk,"['Lil Durk', 'King Von']",Still Trappin',2354
88,,,,,,,,,,,,,,,,Lil Durk,"['Lil Durk', 'Lil Baby']",Finesse Out The Gang Way,2355
89,,,,,,,,,,,,,,,,Tim McGraw,"['Tim McGraw', 'Tyler Hubbard']",Undivided,2356
90,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Chance The Rapper']",Holy,2357
91,,,,,,,,,,,,,,,,Jason Derulo,"['Jason Derulo', 'Adam Levine']",Lifestyle,2359
92,['contemporary country'],,,,,,,,,,,,,,,Morgan Wallen,['Morgan Wallen'],Somebody's Problem,2362
93,,206.733,True,0.53,0.37,6.0,-9.989,1.0,0.0279,0.806,0.0,0.112,0.7009999999999998,140.061,76.0,Juice WRLD,"['Juice WRLD', ' Clever', 'Post Malone']",Life's A Mess II,2364
94,,,,,,,,,,,,,,,,Gabby Barrett,"['Gabby Barrett', 'Charlie Puth']",I Hope,2366
95,,,,,,,,,,,,,,,,Internet Money,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",Lemonade,2368
96,,155.188,True,0.3649999999999999,0.117,11.0,-10.61,0.0,0.041,0.969,2e-06,0.684,0.1189999999999999,168.744,59.0,Justin Bieber,"['Justin Bieber', 'benny blanco']",Lonely,2369
97,,,,,,,,,,,,,,,,Drake,"['Drake', 'Lil Durk']",Laugh Now Cry Later,2370
98,,,,,,,,,,,,,,,,Lil Yachty,"['Lil Yachty', 'Kodak Black']",Hit Bout It,2375
99,,178.994,False,0.652,0.383,2.0,-7.076,0.0,0.0516,0.0676,0.0,0.0828,0.549,145.765,82.0,Shawn Mendes,"['Shawn Mendes', 'Justin Bieber']",Monster,2379
100,,275.162,True,0.394,0.7339999999999999,1.0,-4.574,0.0,0.185,0.0329,1e-06,0.109,0.0777999999999999,86.897,62.0,Nipsey Hussle,"['Nipsey Hussle', 'JAY-Z']",What It Feels Like,2381
101,,,,,,,,,,,,,,,,Saweetie,"['Saweetie', 'Jhene Aiko']",Back To The Streets,2385
102,,,,,,,,,,,,,,,,Juice WRLD,"['Juice WRLD', 'Young Thug']",Bad Boy,2386
103,,,,,,,,,,,,,,,,DaBaby,"['DaBaby', 'Roddy Ricch']",Rockstar,2388
104,,,,,,,,,,,,,,,,G-Eazy,"['G-Eazy', 'Chris Brown', 'Mark Morrison']",Provide,2390
105,,,,,,,,,,,,,,,,Pooh Shiesty,"['Pooh Shiesty', '21 Savage']",Box Of Churches,2392
106,,,,,,,,,,,,,,,,Miley Cyrus,"['Miley Cyrus', 'Dua Lipa']",Prisoner,2396
107,,,,,,,,,,,,,,,,Jack Harlow,"['Jack Harlow', 'DaBaby', ' Tory Lanez', 'Lil Wayne']",Whats Poppin,2400
108,,,,,,,,,,,,,,,,Lil Durk,"['Lil Durk', 'Pooh Shiesty']",Should've Ducked,2401
