,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
288,,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",242.085,True,0.565,0.491,1,-6.902,1,0.221,0.0049,0.0,0.137,0.337,175.694,59,T-Pain,,I Like Dat,2084
289,,"['contemporary country', 'country', 'country road']",162.12,False,0.59,0.633,2,-5.452,1,0.0328,0.619,0.0,0.157,0.751,179.856,53,Dan + Shay,,Steal My Love,2085
290,,"['kentucky hip hop', 'memphis hip hop', 'southern hip hop', 'trap']",184.833,True,0.843,0.697,7,-6.542,1,0.349,0.0215,0.0,0.144,0.792,98.081,57,EST Gee,,"5500 Degrees (feat. Lil Baby, 42 Dugg & Rylo Rodriguez)",2086
291,,"['art pop', 'pop']",195.776,True,0.765,0.373,8,-9.921,1,0.0713,0.341,0.525,0.112,0.554,85.016,74,Billie Eilish,,NDA,2089
292,,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",214.434,True,0.689,0.83,10,-4.047,0,0.302,0.121,0.0,0.318,0.703,94.566,49,Nas,,EPMD 2 (feat. Eminem & EPMD),2090
293,,"['alt z', 'social media pop']",177.582,True,0.706,0.544,2,-7.275,1,0.0306,0.0273,0.0,0.087,0.477,115.935,66,Nessa Barrett,,i hope ur miserable until ur dead,2092
294,,['australian hip hop'],216.0,True,0.671,0.639,2,-6.852,0,0.134,0.0928,0.0,0.0941,0.385,119.82,60,The Kid LAROI,,NOT SOBER (feat. Polo G & Stunna Gambino),2093
295,,['pop'],175.933,True,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,82,Olivia Rodrigo,,happier,2094
296,,"['scam rap', 'trap queen']",138.541,True,0.895,0.469,1,-5.882,1,0.0661,0.0012,4.56e-05,0.192,0.076,126.917,56,City Girls,,Twerkulator,2095
297,,[],261.665,False,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,69,Los Legendarios,,Fiel,2096
