,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
3420,,,,,,,,,,,,,,,,Nicky Jam X Ozuna,['Nicky Jam X Ozuna'],Te Robare
3472,,,,,,,,,,,,,,,,Ellie Goulding X Diplo,"['Ellie Goulding X Diplo', 'Swae Lee']",Close To Me
3482,,,,,,,,,,,,,,,,ScHoolboy Q,"['ScHoolboy Q', 'Travis Scott']",CHopstix
3486,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,YG,['YG'],Stop Snitching
3495,,,,,,,,,,,,,,,,Alec Benjamin,"['Alec Benjamin', 'Alessia Cara']",Let Me Down Slowly
3507,,177.066,False,0.7289999999999999,0.545,0.0,-7.817999999999999,1.0,0.0316,0.0174,0.000274,0.3689999999999999,0.514,103.012,77.0,Khalid,"['Khalid', 'John Mayer']",Outta My Head
3509,,,,,,,,,,,,,,,,Khalid x SAFE,['Khalid x SAFE'],Don't Pretend
3521,"['pop', 'pop rap', 'tropical house']",,,,,,,,,,,,,,,benny blanco,"['benny blanco', ' Tainy', ' Selena Gomez', 'J Balvin']",I Can't Get Enough
3540,,,,,,,,,,,,,,,,Gucci Mane X Bruno Mars X Kodak Black,['Gucci Mane X Bruno Mars X Kodak Black'],Wake Up In The Sky
3558,,,,,,,,,,,,,,,,Offset,"['Offset', ' J. Cole']",How Did I Get Here
3573,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Gunna,"['Gunna', 'Playboi Carti']",Same Yung N***a
3584,,,,,,,,,,,,,,,,XXXTENTACION x Lil Pump,"['XXXTENTACION x Lil Pump', 'Maluma', 'Swae Lee']",Arms Around You
3612,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Future,['Future'],F&N
3613,,,,,,,,,,,,,,,,Silk City x Dua Lipa,['Silk City x Dua Lipa'],Electricity
3616,,,,,,,,,,,,,,,,Luke Combs,['Luke Combs'],She Got The Best Of Me 
3627,,,,,,,,,,,,,,,,Shawn Mendes X Zedd,['Shawn Mendes X Zedd'],Lost In Japan
3639,"['ccm', 'christian music', 'worship']",270.934,False,,,,,,,,,,,,64.0,Lauren Daigle,['Lauren Daigle'],The Christmas Song
3641,"['atl hip hop', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,21 Savage,['21 Savage'],1.5
3654,"['emo rap', 'miami hip hop']",,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],I Don't Let Go
3704,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Ty Dolla $ign']",Psycho
3708,,,,,,,,,,,,,,,,Quavo,['Quavo'],W O R K I N  M E
3756,,,,,,,,,,,,,,,,Lil Wayne,"['Lil Wayne', 'XXXTENTACION']",Don't Cry
3759,['pop'],,,,,,,,,,,,,,,Labrinth,"['Labrinth', ' Sia', 'Diplo Present... LSD']",Thunderclouds
3780,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Lil Wayne,"['Lil Wayne', 'Snoop Dogg']",Dope N****z
