,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
917,"['australian country', 'contemporary country', 'country', 'country road']",,,,,,,,,,,,,,,Keith Urban,['Keith Urban'],"John Cougar, John Deere, John 3:16",5182
918,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Drake']",R.I.C.O.,5211
919,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",,,,,,,,,,,,,,,Tori Kelly,['Tori Kelly'],Should've Been Us,5218
920,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,Rihanna,['Rihanna'],B**** Better Have My Money,5238
921,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",,,,,,,,,,,,,,,Eazy-E,['Eazy-E'],Boyz-N-The Hood,5242
922,"['pop', 'pop rock']",,,,,,,,,,,,,,,Maroon 5,['Maroon 5'],This Summer's Gonna Hurt...,5264
923,,,,,,,,,,,,,,,,Tim McGraw,"['Tim McGraw', 'Catherine Dunn']",Diamond Rings And Old Barstools,5295
924,,189.8,False,0.5859999999999999,0.633,3.0,-7.687999999999999,1.0,0.0318,0.4749999999999999,4e-06,0.164,0.445,148.984,51.0,Kenny Chesney,"['Kenny Chesney', 'Grace Potter']",Wild Child,5305
925,,,,,,,,,,,,,,,,Travi$ Scott,"['Travi$ Scott', 'Future', '2 Chainz']",3500,5319
926,,,,,,,,,,,,,,,,Lillywood,"['Lillywood', 'Robin Schulz']",Prayer In C,5378
927,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Big Sean,"['Big Sean', 'E-40']",I Don't F**k With You,5381
928,,,,,,,,,,,,,,,,Beyonce,['Beyonce'],7/11,5382
929,[],,,,,,,,,,,,,,,I LOVE MAKONNEN,"['I LOVE MAKONNEN', 'Drake']",Tuesday,5435
930,[],,,,,,,,,,,,,,,"Missy ""Misdemeanor"" Elliott","['Missy ""Misdemeanor"" Elliott']",Work It,5454
931,[],,,,,,,,,,,,,,,"Missy ""Misdemeanor"" Elliott","['Missy ""Misdemeanor"" Elliott']",Get Ur Freak On,5455
932,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",,,,,,,,,,,,,,,Fergie,['Fergie'],L.A.LOVE (la la),5459
933,,193.846,False,0.673,0.921,1.0,-3.274,1.0,0.0531,0.0112,0.84,0.952,0.279,103.965,40.0,A-Trak,"['A-Trak', 'Milo', 'Otis', 'Rich Kidz']",Out The Speakers,5464
934,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,French Montana,"['French Montana', 'Jeremih']",Bad B*tch,5497
935,[],,,,,,,,,,,,,,,Craig Wayne Boyd,['Craig Wayne Boyd'],My Baby's Got A Smile On Her Face,5501
936,['deep talent show'],,,,,,,,,,,,,,,Matt McAndrew,['Matt McAndrew'],The Blower's Daughter,5519
937,,166.146,False,0.553,0.4759999999999999,0.0,-8.869,1.0,0.0649,0.647,0.0,0.281,0.558,113.401,79.0,Idina Menzel Duet,"['Idina Menzel Duet', 'Michael Buble']",Baby It's Cold Outside,5541
938,,,,,,,,,,,,,,,,Ariana Grande,"['Ariana Grande', 'Iggy Azalea']",Problem,5572
939,,169.586,False,0.68,0.888,9.0,-5.308,1.0,0.055,0.0527,3e-06,0.0575,0.4839999999999999,90.076,63.0,Miranda Lambert Duet,"['Miranda Lambert Duet', 'Carrie Underwood']",Somethin' Bad,5587
940,"['contemporary country', 'country', 'country road', 'modern country rock']",,,,,,,,,,,,,,,Dustin Lynch,['Dustin Lynch'],"Where It's At (Yep, Yep)",5599
941,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,Usher,"['Usher', 'Nicki Minaj']",She Came To Give It To You,5620
942,[],,,,,,,,,,,,,,,KCamp,"['KCamp', '2 Chainz']",Cut Her Off,5630
943,,,,,,,,,,,,,,,,Florida Georgia Line Ft. Jason Derulo,"['Florida Georgia Line Ft. Jason Derulo', 'Luke Bryan']",This Is How We Roll,5635
944,['modern blues rock'],,,,,,,,,,,,,,,Jamie N Commons,"['Jamie N Commons', 'X Ambassadors']",Jungle,5675
945,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",333.72,True,,,,,,,,,,,,54.0,Jay Z,"['Jay Z', 'Beyonce']",Part II (On The Run),5706
946,"['post-teen pop', 'viral pop']",,,,,,,,,,,,,,,Christina Grimmie,['Christina Grimmie'],Can't Help Falling In Love,5713
947,"['deep talent show', 'indy indie']",,,,,,,,,,,,,,,Josh Kaufman,['Josh Kaufman'],I Can't Make You Love Me,5732
948,"['post-teen pop', 'viral pop']",,,,,,,,,,,,,,,Christina Grimmie,['Christina Grimmie'],"Hold On, We're Going Home",5743
949,"['dance pop', 'pop']",,,,,,,,,,,,,,,Lady Gaga,['Lady Gaga'],G.U.Y.,5777
950,,,,,,,,,,,,,,,,Rick Ross,"['Rick Ross', 'JAY Z']",The Devil Is A Lie,5791
951,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",,,,,,,,,,,,,,,Kendrick Lamar,"['Kendrick Lamar', 'MC Eiht']",m.A.A.d City,5827
952,,,,,,,,,,,,,,,,Keith Urban,"['Keith Urban', 'Miranda Lambert']",We Were Us,5831
953,"['dance pop', 'deep pop r&b', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",,,,,,,,,,,,,,,August Alsina,"['August Alsina', 'Trinidad James']",I Luv This Sh*t,5839
954,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",338.413,True,,,,,,,,,,,,66.0,Jay Z,"['Jay Z', 'Justin Timberlake']",Holy Grail,5843
955,"['dance pop', 'pop', 'post-teen pop']",,,,,,,,,,,,,,,Britney Spears,['Britney Spears'],Work B**ch!,5853
956,,,,,,,,,,,,,,,,Maejor Ali,"['Maejor Ali', 'Juicy J', 'Justin Bieber']",Lolly,5864
957,,,,,,,,,,,,,,,,Lana Del Rey vs. Cedric Gervais,['Lana Del Rey vs. Cedric Gervais'],Summertime Sadness,5871
958,[],,,,,,,,,,,,,,,Jacquie Lee,['Jacquie Lee'],Angel,5876
959,,,,,,,,,,,,,,,,Drake,"['Drake', 'JAY-Z']",Pound Cake / Paris Morton Music 2,5879
960,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",189.013,True,,,,,,,,,,,,59.0,JAY-Z,['JAY-Z'],Tom Ford,5900
961,"['dance pop', 'deep pop r&b', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,K. Michelle,['K. Michelle'],V.S.O.P.,5928
962,['hollywood'],,,,,,,,,,,,,,,Anna Kendrick,['Anna Kendrick'],Cups (Pitch Perfect's When I'm Gone),5932
963,[],,,,,,,,,,,,,,,Alison Gold,['Alison Gold'],Chinese Food,5937
964,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],Wu-Tang Forever,5963
965,,,,,,,,,,,,,,,,Linkin Park X Steve Aoki,['Linkin Park X Steve Aoki'],A Light That Never Comes,5972
966,,202.384,False,0.824,0.496,7.0,-9.24,0.0,0.0512,0.00114,0.0755,0.0598,0.464,97.999,0.0,The FiNATTiCZ,['The FiNATTiCZ'],Don't Drop That Thun Thun!,5985
967,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",,,,,,,,,,,,,,,Jay Z,"['Jay Z', 'Rick Ross']",F*ckwithmeyouknowigotit,6001
968,[],,,,,,,,,,,,,,,Green Shoe Studio,"['Green Shoe Studio', 'Jacob Colgan', 'Fred Stobaugh']",Oh Sweet Lorraine,6004
969,"['atl hip hop', 'atl trap', 'deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Rocko,"['Rocko', 'Future', 'Rick Ross']",U.O.E.N.O.,6014
970,[],,,,,,,,,,,,,,,Ke$ha,"['Ke$ha', 'will.i.am Or Juicy J']",Crazy Kids,6018
971,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Lil Wayne,"['Lil Wayne', '2 Chainz']",Rich As F**k,6040
